20260516T,0,1000,0,109.46,0
20260517T,0,1000,0,109.46,0
20260518T,0,1000,0,109.46,0
20260519T,0,1000,0,109.46,0
20260520T,0,1000,0,109.46,0
20260521T,0,1000,0,103.74,0
20260522T,0,1000,0,103.74,0
20260523T,0,1000,0,103.74,0
20260524T,0,1000,0,103.74,0
20260525T,0,1000,0,103.74,0
20260526T,0,1000,0,96.0,0
20260527T,0,1000,0,96.0,0
20260528T,0,1000,0,96.0,0
20260529T,0,1000,0,96.0,0
20260530T,0,1000,0,96.0,0
20260531T,0,1000,0,94.97,0
20260601T,0,1000,0,94.97,0
20260602T,0,1000,0,94.97,0
20260603T,0,1000,0,94.97,0
20260604T,0,1000,0,94.97,0
20260605T,0,1000,0,89.89,0
20260606T,0,1000,0,89.89,0
20260607T,0,1000,0,89.89,0
20260608T,0,1000,0,89.89,0
20260609T,0,1000,0,89.89,0
20260610T,0,1000,0,88.1,0
20260611T,0,1000,0,88.1,0
20260612T,0,1000,0,88.1,0
20260613T,0,1000,0,88.1,0
20260614T,0,1000,0,88.1,0
20260615T,0,1000,0,79.33,0
20260616T,0,1000,0,79.33,0
20260617T,0,1000,0,79.33,0
20260618T,0,1000,0,79.33,0
20260619T,0,1000,0,79.33,0
